['note_on', 'channel=0', 'note=63', 'velocity=56', 'time=265.4447916666667', 276504.99131944444, 3200.0]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=1.4989583333333334', 278066.40625, 6167.507004184034]
['note_on', 'channel=0', 'note=63', 'velocity=62', 'time=0.896875', 279000.6510416667, 7943.061924686115]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=1.4177083333333333', 280477.43055555556, 10749.71726359815]
['note_on', 'channel=0', 'note=63', 'velocity=61', 'time=0.8385416666666666', 281350.9114583334, 12409.788937238336]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=0.4375', 281806.64062500006, 13275.913288702783]
['note_on', 'channel=0', 'note=63', 'velocity=62', 'time=0.4145833333333333', 282238.49826388893, 14096.66922175713]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=1.0072916666666667', 283287.76041666674, 16090.817430962159]
['note_on', 'channel=0', 'note=63', 'velocity=59', 'time=0.8552083333333333', 284178.6024305556, 17783.88431799138]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=4.615625', 288986.54513888893, 26921.496225940893]
['note_on', 'channel=0', 'note=65', 'velocity=43', 'time=0.66875', 289683.15972222225, 28245.429163179313]
['note_on', 'channel=0', 'note=61', 'velocity=33', 'time=0.009375', 289692.92534722225, 28263.988970710692]
['note_on', 'channel=0', 'note=60', 'velocity=45', 'time=0.6541666666666667', 290374.3489583334, 29559.051096233696]
['note_on', 'channel=0', 'note=63', 'velocity=42', 'time=0.0010416666666666667', 290375.4340277778, 29561.113297070504]
['note_on', 'channel=0', 'note=56', 'velocity=39', 'time=0.005208333333333333', 290380.85937500006, 29571.42430125465]
['note_on', 'channel=0', 'note=51', 'velocity=39', 'time=0.010416666666666666', 290391.7100694445, 29592.04630962284]
['note_on', 'channel=0', 'note=65', 'velocity=0', 'time=0.013541666666666667', 290405.8159722223, 29618.854920501562]
['note_on', 'channel=0', 'note=61', 'velocity=0', 'time=0.022916666666666665', 290429.6875000001, 29664.223338911663]
['note_on', 'channel=0', 'note=63', 'velocity=0', 'time=0.4010416666666667', 290847.43923611124, 30458.1706610874]
['note_on', 'channel=0', 'note=61', 'velocity=41', 'time=0.05', 290899.52256944455, 30557.156301254723]
